Incident_Key,Participant_ID,Incident_Date,Incident_Type,Program_Phase,Severity_Score,Staff_Member
1001,36,1/20/2023,Positive Check-in,Initial,2,Smith
1002,12,2/5/2023,Missed Appointment,Initial,4,Johnson
1003,45,3/15/2023,Completed Goal,Initial,3,Chen
1004,21,4/10/2023,Missed Appointment,Initial,5,Smith
1005,48,5/25/2023,Failed Drug Test,Initial,9,Johnson
1006,3,6/5/2023,Positive Check-in,Initial,2,Chen
1007,26,7/20/2023,Missed Appointment,Mid-Term,6,Smith
1008,1,8/5/2023,Completed Goal,Initial,3,Johnson
1009,33,9/10/2023,Positive Check-in,Mid-Term,1,Chen
1010,18,10/25/2023,Failed Drug Test,Mid-Term,8,Smith
1011,2,11/5/2023,Missed Appointment,Initial,7,Johnson
1012,50,12/15/2023,Completed Goal,Initial,2,Chen
1013,42,1/10/2024,Positive Check-in,Mid-Term,1,Smith
1014,9,2/5/2024,Missed Appointment,Initial,4,Johnson
1015,24,3/20/2024,Completed Goal,Mid-Term,3,Chen
1016,4,4/15/2024,Positive Check-in,Initial,2,Smith
1017,14,5/6/2024,Missed Appointment,Initial,5,Johnson
1018,31,6/25/2024,Completed Goal,Mid-Term,3,Chen
1019,10,7/6/2024,Failed Drug Test,Mid-Term,9,Smith
1020,44,8/20/2024,Positive Check-in,Final,1,Johnson
1021,7,9/6/2024,Completed Goal,Initial,2,Chen
1022,29,10/15/2024,Missed Appointment,Initial,6,Smith
1023,16,11/10/2024,Positive Check-in,Mid-Term,1,Johnson
1024,38,12/6/2024,Missed Appointment,Initial,4,Chen
1025,5,1/20/2025,Completed Goal,Initial,3,Smith
1026,20,2/6/2025,Missed Appointment,Initial,5,Johnson
1027,13,3/15/2025,Positive Check-in,Initial,2,Chen
1028,47,4/10/2025,Missed Appointment,Initial,6,Smith
1029,25,5/25/2025,Completed Goal,Initial,3,Johnson
1030,40,6/6/2025,Positive Check-in,Initial,2,Chen
1031,6,1/25/2023,Completed Goal,Initial,3,Smith
1032,8,3/6/2023,Positive Check-in,Initial,2,Johnson
1033,11,4/20/2023,Failed Drug Test,Initial,10,Chen
1034,15,5/6/2023,Missed Appointment,Mid-Term,5,Smith
1035,17,6/15/2023,Completed Goal,Initial,2,Johnson
1036,19,7/6/2023,Positive Check-in,Mid-Term,1,Chen
1037,22,8/20/2023,Missed Appointment,Initial,4,Smith
1038,23,9/6/2023,Completed Goal,Mid-Term,3,Johnson
1039,27,10/25/2023,Failed Drug Test,Initial,9,Chen
1040,28,11/6/2023,Positive Check-in,Mid-Term,2,Smith
1041,30,12/15/2023,Completed Goal,Initial,3,Johnson
1042,32,1/10/2024,Missed Appointment,Mid-Term,6,Chen
1043,34,2/6/2024,Positive Check-in,Initial,1,Smith
1044,35,3/20/2024,Completed Goal,Mid-Term,2,Johnson
1045,37,4/15/2024,Missed Appointment,Initial,5,Chen
1046,39,5/6/2024,Positive Check-in,Mid-Term,2,Smith
1047,41,6/25/2024,Failed Drug Test,Initial,10,Johnson
1048,43,7/6/2024,Completed Goal,Mid-Term,2,Chen
1049,46,8/20/2024,Missed Appointment,Final,7,Smith
1050,49,9/6/2024,Positive Check-in,Initial,1,Johnson
1051,5,4/6/2023,Completed Goal,Initial,2,Chen
1052,1,3/6/2024,Missed Appointment,Initial,5,Smith
1053,6,4/25/2024,Positive Check-in,Initial,2,Johnson
1054,10,5/10/2023,Missed Appointment,Mid-Term,6,Chen
1055,14,12/6/2023,Completed Goal,Initial,3,Smith
1056,23,5/20/2024,Positive Check-in,Initial,2,Johnson
1057,47,7/25/2023,Missed Appointment,Mid-Term,4,Chen
1058,16,9/10/2023,Completed Goal,Initial,3,Smith
1059,32,11/25/2024,Missed Appointment,Initial,5,Johnson
1060,40,3/6/2023,Positive Check-in,Initial,1,Chen
1061,43,10/15/2023,Completed Goal,Mid-Term,2,Smith
1062,13,1/25/2024,Missed Appointment,Initial,4,Johnson
1063,3,6/20/2024,Completed Goal,Initial,3,Chen
1064,28,1/6/2025,Positive Check-in,Initial,2,Smith
1065,34,2/25/2025,Missed Appointment,Initial,5,Johnson
1066,42,7/6/2023,Completed Goal,Mid-Term,3,Chen
1067,49,8/6/2023,Positive Check-in,Initial,1,Smith
1068,17,3/6/2025,Missed Appointment,Initial,4,Johnson
1069,36,2/20/2023,Completed Goal,Mid-Term,2,Chen
1070,12,3/5/2023,Positive Check-in,Initial,1,Smith
1071,45,4/10/2023,Missed Appointment,Mid-Term,4,Johnson
1072,21,5/5/2023,Completed Goal,Mid-Term,2,Chen
1073,48,6/20/2023,Positive Check-in,Initial,1,Smith
1074,3,7/1/2023,Missed Appointment,Mid-Term,4,Johnson
1075,26,8/15/2023,Completed Goal,Mid-Term,2,Chen
1076,1,9/1/2023,Positive Check-in,Mid-Term,1,Smith
1077,33,10/5/2023,Missed Appointment,Mid-Term,5,Johnson
1078,18,11/20/2023,Completed Goal,Final,2,Chen
1079,2,12/1/2023,Positive Check-in,Initial,1,Smith
1080,50,1/10/2024,Missed Appointment,Mid-Term,4,Johnson
1081,42,2/5/2024,Completed Goal,Mid-Term,2,Chen
1082,9,3/1/2024,Positive Check-in,Initial,1,Smith
1083,24,4/15/2024,Missed Appointment,Mid-Term,5,Johnson
1084,4,5/10/2024,Completed Goal,Initial,2,Chen
1085,14,6/1/2024,Positive Check-in,Initial,1,Smith
1086,31,7/20/2024,Missed Appointment,Mid-Term,4,Johnson
1087,10,8/1/2024,Completed Goal,Mid-Term,2,Chen
1088,44,9/15/2024,Positive Check-in,Final,1,Smith
1089,7,10/1/2024,Missed Appointment,Initial,5,Johnson
1090,29,11/10/2024,Completed Goal,Initial,2,Chen
1091,16,12/5/2024,Positive Check-in,Mid-Term,1,Smith
1092,38,1/1/2025,Completed Goal,Initial,3,Johnson
1093,5,2/15/2025,Positive Check-in,Initial,2,Chen
1094,20,3/1/2025,Missed Appointment,Initial,5,Smith
1095,13,4/10/2025,Completed Goal,Initial,3,Johnson
1096,47,5/5/2025,Positive Check-in,Initial,1,Chen
1097,25,6/20/2025,Missed Appointment,Initial,4,Smith
1098,40,4/6/2023,Completed Goal,Mid-Term,2,Johnson
1099,6,2/25/2023,Positive Check-in,Mid-Term,1,Chen
1100,8,4/1/2023,Missed Appointment,Initial,4,Smith
1101,11,5/15/2023,Completed Goal,Initial,3,Johnson
1102,15,6/1/2023,Positive Check-in,Mid-Term,1,Chen
1103,17,7/10/2023,Missed Appointment,Initial,5,Smith
1104,19,8/1/2023,Completed Goal,Mid-Term,2,Johnson
1105,22,9/15/2023,Positive Check-in,Initial,1,Chen
1106,23,10/1/2023,Missed Appointment,Mid-Term,4,Smith
1107,27,11/20/2023,Failed Drug Test,Initial,10,Johnson
1108,28,12/1/2023,Completed Goal,Mid-Term,2,Chen
1109,30,1/10/2024,Positive Check-in,Initial,1,Smith
1110,32,2/5/2024,Missed Appointment,Mid-Term,6,Johnson
1111,34,3/1/2024,Completed Goal,Initial,2,Chen
1112,35,4/15/2024,Positive Check-in,Mid-Term,1,Smith
1113,37,5/10/2024,Missed Appointment,Initial,5,Johnson
1114,39,6/1/2024,Completed Goal,Mid-Term,2,Chen
1115,41,7/20/2024,Failed Drug Test,Initial,9,Smith
1116,43,8/1/2024,Positive Check-in,Mid-Term,1,Johnson
1117,46,9/15/2024,Missed Appointment,Final,7,Chen
1118,49,10/1/2024,Completed Goal,Initial,2,Smith
1119,5,5/6/2023,Positive Check-in,Mid-Term,1,Johnson
1120,1,4/1/2024,Completed Goal,Initial,2,Chen
1121,6,5/20/2024,Missed Appointment,Initial,5,Smith
1122,10,6/5/2023,Positive Check-in,Mid-Term,1,Johnson
1123,14,1/1/2024,Missed Appointment,Mid-Term,4,Chen
1124,23,6/15/2024,Completed Goal,Initial,3,Smith
1125,47,8/20/2023,Positive Check-in,Final,1,Johnson
1126,16,10/5/2023,Missed Appointment,Mid-Term,5,Chen
1127,32,12/20/2024,Completed Goal,Initial,2,Smith
1128,40,4/1/2023,Positive Check-in,Mid-Term,1,Johnson
1129,43,11/10/2023,Missed Appointment,Mid-Term,4,Chen
1130,13,2/20/2024,Completed Goal,Initial,3,Smith
1131,3,7/15/2024,Positive Check-in,Initial,2,Johnson
1132,28,2/1/2025,Missed Appointment,Initial,5,Chen
1133,34,3/20/2025,Completed Goal,Initial,3,Smith
1134,42,8/1/2023,Positive Check-in,Mid-Term,1,Johnson
1135,49,9/1/2023,Missed Appointment,Initial,4,Chen
1136,17,4/1/2025,Completed Goal,Initial,3,Smith
1137,36,3/20/2023,Missed Appointment,Mid-Term,5,Johnson
1138,12,4/5/2023,Completed Goal,Mid-Term,2,Chen
1139,45,5/10/2023,Positive Check-in,Mid-Term,1,Smith
1140,21,6/5/2023,Missed Appointment,Mid-Term,5,Johnson
1141,48,7/20/2023,Completed Goal,Initial,3,Chen
1142,3,8/1/2023,Positive Check-in,Mid-Term,1,Smith
1143,26,9/15/2023,Missed Appointment,Mid-Term,6,Johnson
1144,1,10/1/2023,Completed Goal,Mid-Term,2,Chen
1145,33,11/5/2023,Positive Check-in,Mid-Term,1,Smith
1146,18,12/20/2023,Missed Appointment,Final,4,Johnson
1147,2,1/1/2024,Failed Drug Test,Initial,9,Chen
1148,50,2/10/2024,Completed Goal,Mid-Term,2,Smith
1149,42,3/5/2024,Positive Check-in,Mid-Term,1,Johnson
1150,9,4/1/2024,Missed Appointment,Initial,4,Chen
1151,24,5/15/2024,Completed Goal,Mid-Term,3,Smith
1152,4,6/10/2024,Positive Check-in,Initial,2,Johnson
1153,14,7/1/2024,Missed Appointment,Initial,5,Chen
1154,31,8/20/2024,Completed Goal,Mid-Term,3,Smith
1155,10,9/1/2024,Failed Drug Test,Mid-Term,9,Johnson
1156,44,10/15/2024,Positive Check-in,Final,1,Chen
1157,7,11/1/2024,Completed Goal,Initial,2,Smith
1158,29,12/10/2024,Missed Appointment,Initial,6,Johnson
1159,16,1/5/2025,Positive Check-in,Mid-Term,1,Chen
1160,38,2/1/2025,Missed Appointment,Initial,4,Smith
1161,5,3/15/2025,Completed Goal,Initial,3,Johnson
1162,20,4/1/2025,Positive Check-in,Initial,1,Chen
1163,13,5/10/2025,Missed Appointment,Initial,4,Smith
1164,47,6/5/2025,Completed Goal,Initial,3,Johnson
1165,25,6/25/2024,Positive Check-in,Initial,1,Chen
1166,40,5/1/2023,Missed Appointment,Mid-Term,5,Smith
1167,6,3/25/2023,Completed Goal,Mid-Term,2,Johnson
1168,8,5/1/2023,Positive Check-in,Initial,1,Chen
1169,11,6/15/2023,Failed Drug Test,Initial,10,Smith
1170,15,7/1/2023,Missed Appointment,Mid-Term,5,Johnson
1171,17,8/10/2023,Completed Goal,Initial,2,Chen
1172,19,9/1/2023,Positive Check-in,Mid-Term,1,Smith
1173,22,10/15/2023,Missed Appointment,Initial,4,Johnson
1174,23,11/1/2023,Completed Goal,Mid-Term,2,Chen
1175,27,12/20/2023,Failed Drug Test,Initial,9,Smith
1176,28,1/1/2024,Positive Check-in,Mid-Term,1,Johnson
1177,30,2/10/2024,Completed Goal,Initial,3,Chen
1178,32,3/5/2024,Missed Appointment,Mid-Term,6,Smith
1179,34,4/1/2024,Positive Check-in,Initial,1,Johnson
1180,35,5/15/2024,Completed Goal,Mid-Term,2,Chen
1181,37,6/10/2024,Missed Appointment,Initial,5,Smith
1182,39,7/1/2024,Positive Check-in,Mid-Term,1,Johnson
1183,41,8/20/2024,Failed Drug Test,Initial,10,Chen
1184,43,9/1/2024,Completed Goal,Mid-Term,2,Smith
1185,46,10/15/2024,Missed Appointment,Final,7,Johnson
1186,49,11/1/2024,Positive Check-in,Initial,1,Chen
1187,5,6/6/2023,Completed Goal,Mid-Term,2,Smith
1188,1,5/1/2024,Missed Appointment,Initial,5,Johnson
1189,6,6/20/2024,Positive Check-in,Initial,1,Chen
1190,10,7/5/2023,Missed Appointment,Final,7,Smith
1191,14,2/1/2024,Completed Goal,Mid-Term,2,Johnson
1192,23,7/15/2024,Positive Check-in,Initial,1,Chen
1193,47,9/20/2023,Missed Appointment,Final,8,Smith
1194,16,11/5/2023,Completed Goal,Mid-Term,2,Johnson
1195,32,1/20/2025,Missed Appointment,Initial,4,Chen
1196,40,5/1/2023,Completed Goal,Mid-Term,3,Smith
1197,43,12/10/2023,Positive Check-in,Mid-Term,1,Johnson
1198,13,3/20/2024,Missed Appointment,Initial,5,Chen
1199,3,8/15/2024,Completed Goal,Initial,3,Smith
1200,28,3/1/2025,Positive Check-in,Initial,1,Johnson
1201,34,4/20/2025,Missed Appointment,Initial,4,Chen
1202,42,9/1/2023,Completed Goal,Final,2,Smith
1203,49,10/1/2023,Positive Check-in,Initial,1,Johnson
1204,17,5/1/2025,Missed Appointment,Initial,5,Chen
1205,36,4/20/2023,Positive Check-in,Mid-Term,1,Smith
1206,12,5/5/2023,Missed Appointment,Mid-Term,5,Johnson
1207,45,6/10/2023,Completed Goal,Mid-Term,3,Chen
1208,21,7/5/2023,Positive Check-in,Mid-Term,1,Smith
1209,48,8/20/2023,Missed Appointment,Initial,6,Johnson
1210,3,9/1/2023,Completed Goal,Mid-Term,2,Chen
1211,26,10/15/2023,Positive Check-in,Mid-Term,1,Smith
1212,1,11/1/2023,Missed Appointment,Mid-Term,5,Johnson
1213,33,12/5/2023,Completed Goal,Mid-Term,2,Chen
1214,18,1/20/2024,Positive Check-in,Final,1,Smith
1215,2,2/1/2024,Failed Drug Test,Initial,10,Johnson
1216,50,3/10/2024,Missed Appointment,Mid-Term,5,Chen
1217,42,4/5/2024,Completed Goal,Mid-Term,2,Smith
1218,9,5/1/2024,Positive Check-in,Initial,1,Johnson
1219,24,6/15/2024,Missed Appointment,Mid-Term,4,Chen
1220,4,7/10/2024,Completed Goal,Initial,3,Smith
1221,14,8/1/2024,Positive Check-in,Initial,1,Johnson
1222,31,9/20/2024,Missed Appointment,Mid-Term,5,Chen
1223,10,10/1/2024,Completed Goal,Mid-Term,2,Smith
1224,44,11/15/2024,Positive Check-in,Final,1,Johnson
1225,7,12/1/2024,Missed Appointment,Initial,4,Chen
1226,29,1/10/2025,Completed Goal,Initial,3,Smith
1227,16,2/5/2025,Positive Check-in,Mid-Term,1,Johnson
1228,38,3/1/2025,Missed Appointment,Initial,5,Chen
1229,5,4/15/2025,Completed Goal,Initial,3,Smith
1230,20,5/1/2025,Positive Check-in,Initial,1,Johnson
1231,13,6/10/2025,Missed Appointment,Initial,4,Chen
1232,47,7/30/2023,Completed Goal,Final,2,Smith
1233,25,7/25/2024,Missed Appointment,Initial,5,Johnson
1234,40,6/1/2023,Completed Goal,Mid-Term,3,Chen
1235,6,4/25/2023,Positive Check-in,Mid-Term,1,Smith
1236,8,6/1/2023,Missed Appointment,Initial,4,Johnson
1237,11,7/15/2023,Completed Goal,Initial,3,Chen
1238,15,8/1/2023,Positive Check-in,Mid-Term,1,Smith
1239,17,9/10/2023,Missed Appointment,Initial,5,Johnson
1240,19,10/1/2023,Completed Goal,Mid-Term,2,Chen
1241,22,11/15/2023,Positive Check-in,Initial,1,Smith
1242,23,12/1/2023,Missed Appointment,Mid-Term,4,Johnson
1243,27,1/20/2024,Failed Drug Test,Initial,10,Chen
1244,28,2/1/2024,Completed Goal,Mid-Term,2,Smith
1245,30,3/10/2024,Positive Check-in,Initial,1,Johnson
1246,32,4/5/2024,Missed Appointment,Mid-Term,6,Chen
1247,34,5/1/2024,Completed Goal,Initial,2,Smith
1248,35,6/15/2024,Positive Check-in,Mid-Term,1,Johnson
1249,37,7/10/2024,Missed Appointment,Initial,5,Chen
1250,39,8/1/2024,Completed Goal,Mid-Term,2,Smith
1251,41,9/20/2024,Failed Drug Test,Initial,9,Johnson
1252,43,10/1/2024,Positive Check-in,Mid-Term,1,Chen
1253,46,11/15/2024,Missed Appointment,Final,7,Smith
1254,49,12/1/2024,Completed Goal,Initial,2,Johnson
1255,5,7/6/2023,Positive Check-in,Mid-Term,1,Chen
1256,1,6/1/2024,Missed Appointment,Initial,5,Smith
1257,6,7/20/2024,Completed Goal,Initial,3,Johnson
1258,10,8/5/2023,Positive Check-in,Final,1,Chen
1259,14,3/1/2024,Missed Appointment,Mid-Term,4,Smith
1260,23,8/15/2024,Completed Goal,Initial,3,Johnson
1261,47,10/20/2023,Positive Check-in,Final,1,Chen
1262,16,12/5/2023,Missed Appointment,Mid-Term,5,Smith
1263,32,2/15/2025,Completed Goal,Initial,2,Johnson
1264,40,7/1/2023,Positive Check-in,Mid-Term,1,Chen
1265,43,1/10/2024,Missed Appointment,Mid-Term,4,Smith
1266,13,4/20/2024,Completed Goal,Initial,3,Johnson
1267,3,9/15/2024,Positive Check-in,Initial,2,Chen
1268,28,4/1/2025,Missed Appointment,Initial,5,Smith
